Rank,Team,Player,FGP,P3P,FTP,Minutes,Points,Rebounds,Assists,WS,WS/48,BPM,VORP,Position,Class Year,Year,School,Conf,G,GS,MP,FG,FGA,FG.PG,P2M,P2MA,P2.PG,P3M,P3MA,P3.PG,FT,FTA,FT.PG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,Year.1,School.1,Conf.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG.PG1,P2M.1,P2MA.1,P2.PG1,P3M.1,P3MA.1,P3.PG1,FT.1,FTA.1,FT.PG1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,,SOS.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ORL,Andrew Nicholson,0.467,0.321,0.773,14.3,6,3,0.4,3.8,0.045,-5.3,-3.4,PF,Senior,2011-12,St. Bonaventure,A-10,32,32,30.1,6.9,12,0.571,6.2,10.4,0.593,0.7,1.7,0.434,4,5.2,0.776,2.6,5.8,8.4,1,0.7,2,2.5,2.8,18.5,,2.84,2010-11,St. Bonaventure,A-10,91,86,29.7,6.4,11.2,0.6,6.4,11.0,0.6,0.1,0.2,0.3,3.6,5.2,0.7,2.1,4.7,6.8,0.6,0.4,2.0,2.4,3.1,16.6,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,DEN,Evan Fournier,0.446,0.371,0.806,28,13.5,2.8,2.5,20.2,0.074,-1,3.2,SG,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BOS,Jared Sullinger,0.436,0.272,0.723,24.3,10.8,7.5,1.8,15.3,0.113,0.5,4.1,PF,Sophomore,2011-12,Ohio State,Big Ten,37,36,30.4,6.2,11.9,0.519,5.7,10.8,0.531,0.4,1.1,0.4,4.7,6.2,0.768,3.1,6.1,9.2,1.2,1.2,1.1,1.9,2.9,17.5,,9.07,2010-11,Ohio State,Big Ten,37,36,31.7,6,11.1,0.541,5.9,10.8,0.55,0.1,0.3,0.25,5.1,7.2,0.704,3.5,6.6,10.2,1.2,1,0.5,1.6,2.4,17.2,,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BOS,Fab Melo,0.5,,0.25,6,1.2,0.5,0,0,0.021,-5.8,0,C,Sophomore,2011-12,Syracuse,Big East,30,30,25.4,3.3,5.8,0.566,3.3,5.8,0.566,0,0,0,1.3,2,0.633,2.7,3.2,5.8,0.7,0.5,2.9,1.4,2.8,7.8,,8.02,2010-11,Syracuse,Big East,33,24,9.9,1,1.7,0.607,1,1.7,0.607,0,0,0,0.3,0.8,0.36,0.7,1.3,1.9,0.2,0.3,0.8,0.8,1.8,2.3,,8.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ATL,John Jenkins,0.441,0.367,0.847,12.8,5,1.5,0.8,3,0.065,-3.8,-1,SG,Junior,2011-12,Vanderbilt,SEC,35,35,33.6,6.2,13.1,0.474,2.4,4.4,0.542,3.8,8.7,0.439,3.7,4.4,0.837,0.5,2.4,2.9,1.2,0.8,0.3,1.6,1.2,19.9,,8.04,2010-11,Vanderbilt,SEC,63,39,28.9,4.7,10.2,0.5,2.0,4.0,0.5,2.7,6.3,0.4,3.0,3.5,0.9,0.4,2.2,2.6,1.1,0.7,0.3,1.2,1.3,15.3,,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CLE,Jared Cunningham,0.347,0.306,0.674,7.2,2.3,0.7,0.5,0.2,0.017,-5.9,-0.6,SG,Junior,2011-12,Oregon State,Pac-12,36,35,34.6,5.5,12.2,0.45,4.1,8.1,0.507,1.4,4.1,0.338,5.5,7.5,0.737,1,2.8,3.8,2.8,2.5,0.4,2.8,2.4,17.9,,3.38,2010-11,Oregon State,Pac-10,62,48,24.0,2.9,6.4,0.5,2.4,4.8,0.5,0.5,1.6,0.3,3.6,4.8,0.8,0.9,1.6,2.5,1.5,2.0,0.1,2.4,2.6,10.1,,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,MEM,Tony Wroten,0.413,0.231,0.647,21.2,11.1,2.5,3,-1.3,-0.021,-4.1,-1.6,PG,Freshman,2011-12,Washington,Pac-12,35,27,30.3,5.7,12.8,0.443,5.4,11.2,0.483,0.3,1.6,0.161,4.4,7.5,0.583,2.3,2.7,5,3.7,1.9,0.4,3.8,2.7,16,,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IND,Miles Plumlee,0.542,,0.543,16.4,4.9,4.5,0.5,10.6,0.09,-1.6,0.5,C,Senior,2011-12,Duke,ACC,34,16,20.5,2.6,4.3,0.61,2.6,4.3,0.61,0,0,0,1.4,2.2,0.632,2.9,4.2,7.1,0.5,0.5,0.9,1.2,2.3,6.6,,8.4,2010-11,Duke,ACC,101,42,14.3,1.7,3.2,0.5,1.7,3.2,0.5,0.0,0.0,0.0,0.8,1.3,0.6,1.4,2.6,4.0,0.3,0.4,0.6,1.0,2.3,4.2,,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,MIA,Arnett Moultrie,0.547,,0.667,12.4,3.6,3.1,0.2,1.7,0.113,-3,-0.2,PF,Senior,2011-12,Mississippi State,SEC,30,30,35.8,6,10.9,0.549,5.7,10.3,0.555,0.3,0.6,0.444,4.1,5.3,0.78,3.7,6.8,10.5,1.2,0.8,0.8,2.4,2.2,16.4,,4.86,2009-10,UTEP,CUSA,70,67,27.8,3.7,7.7,0.5,3.4,6.5,0.5,0.3,1.1,0.3,1.5,2.6,0.6,2.7,4.8,7.5,0.9,1.1,0.9,1.9,2.4,9.3,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,OKC,Perry Jones,0.42,0.293,0.66,11.7,3.4,1.8,0.4,1.7,0.048,-4.6,-1.1,SF,Sophomore,2011-12,Baylor,Big 12,33,33,30.7,5.5,11,0.5,5.2,10,0.52,0.3,1,0.303,2.2,3.1,0.696,2.7,4.9,7.6,1.3,0.8,0.6,1.7,2.3,13.5,,8.03,2010-11,Baylor,Big 12,30,29,33.9,5.4,9.8,0.549,5.3,9.5,0.561,0.1,0.3,0.2,3,4.6,0.664,2.6,4.5,7.2,1.2,0.5,0.9,2.3,2.4,13.9,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CHI,Marquis Teague,0.343,0.222,0.661,10,2.4,1,1.5,-0.9,-0.045,-8,-1.4,SG,Freshman,2011-12,Kentucky,SEC,40,40,32.6,3.6,8.8,0.412,3,6.8,0.438,0.7,2,0.325,2.1,3,0.714,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,GSW,Festus Ezeli,0.513,,0.557,14.1,4.2,4.3,0.4,5.9,0.119,-1.1,0.6,C,Senior,2011-12,Vanderbilt,SEC,26,22,23.2,3.4,6.3,0.539,3.4,6.3,0.539,0,0,0,3.2,5.3,0.604,2.4,3.5,5.9,0.3,0.4,2,2.2,3.2,10.1,,8.04,2010-11,Vanderbilt,SEC,95,45,16.5,2.5,4.5,0.6,2.5,4.5,0.6,0.0,0.0,0.0,2.0,3.5,0.6,1.6,2.5,4.1,0.1,0.3,1.6,1.5,2.5,7.1,,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CHA,Jeffery Taylor,0.409,0.319,0.665,19.4,6.1,2,0.8,1.3,0.024,-3.9,-1.2,SF,Senior,2011-12,Vanderbilt,SEC,36,36,32.1,5.8,11.8,0.493,4,7.5,0.533,1.8,4.3,0.423,2.6,4.4,0.605,2.1,3.4,5.6,1.7,1.3,0.4,2.2,1.9,16.1,,8.04,2010-11,Vanderbilt,SEC,98,97,28.2,4.6,9.7,0.5,4.2,8.0,0.5,0.5,1.7,0.3,3.6,5.0,0.7,2.1,3.6,5.6,1.9,1.0,0.5,2.3,2.5,13.4,,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,WAS,Tomáš Satoranský,0.487,0.404,0.797,21.8,6.7,2.8,3.8,10.9,0.109,-0.4,1.9,SG,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CLE,Bernard James,0.497,0,0.68,8.3,2.2,2.3,0.1,1.9,0.117,-1.1,0.2,C,Sophomore,2011-12,Florida State,ACC,35,35,28,4.5,7.4,0.606,4.5,7.4,0.606,0,0,0,1.8,3.3,0.552,3.1,5,8.1,0.5,0.7,2.3,2.1,1.9,10.8,,7.62,2010-11,Florida State,ACC,34,22,21.1,3.4,5.2,0.657,3.4,5.2,0.657,0,0,0,1.7,3.4,0.504,2.2,3.7,5.9,0.2,0.9,2.4,1.5,1.6,8.6,,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CLE,Jae Crowder,0.423,0.338,0.777,24.3,9.5,3.9,1.4,29,0.103,0.6,8.9,SF,Sophomore,2011-12,Marquette,Big East,35,35,32.9,6.2,12.5,0.498,4.5,7.4,0.602,1.7,5.1,0.345,3.4,4.6,0.735,2,6.4,8.4,2.1,2.5,1,1.3,2.7,17.5,,7.5,2010-11,Marquette,Big East,37,17,27.6,4.3,8.8,0.485,3.1,5.6,0.555,1.1,3.2,0.359,2.1,3.4,0.616,2.2,4.5,6.8,1.6,1.3,0.9,0.8,2.3,11.8,,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,GSW,Draymond Green,0.439,0.322,0.706,28.1,9,6.9,4.9,43.4,0.138,3.6,21.5,PF,Senior,2011-12,Michigan State,Big Ten,37,36,33.2,5.7,12.8,0.449,4.3,9.1,0.473,1.4,3.6,0.388,3.4,4.7,0.723,2.1,8.5,10.6,3.8,1.5,0.9,3,2.8,16.2,,9.81,2010-11,Michigan State,Big Ten,108,30,22.1,3.1,6.4,0.5,2.7,5.3,0.5,0.4,1.1,0.4,2.0,3.0,0.7,1.9,4.6,6.5,2.6,1.2,0.7,1.5,2.7,8.5,,9.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SAC,Orlando Johnson,0.358,0.311,0.727,10.8,3.2,1.7,0.7,1.4,0.059,-3.8,-0.5,SG,Senior,2011-12,UCSB,Big West,31,31,34.4,6.7,14.8,0.451,4.4,9.5,0.464,2.3,5.3,0.427,4.1,5.9,0.698,1.7,4.1,5.8,2.9,1.1,0.7,2.5,1.8,19.7,,-1.38,2010-11,UCSB,Big West,93,91,30.2,5.7,12.4,0.5,4.1,8.1,0.5,1.6,4.3,0.4,4.1,5.7,0.7,1.8,3.7,5.5,2.4,0.8,0.5,2.7,2.4,17.2,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,TOR,Quincy Acy,0.444,0.35,0.759,16,4.9,3.5,0.6,8.7,0.078,-1.8,0.2,SF,Senior,2011-12,Baylor,Big 12,38,38,29.7,4.2,7.2,0.577,4.1,7.1,0.576,0.1,0.1,0.6,3.6,4.6,0.782,2.6,4.8,7.4,1,0.9,1.8,1.9,3.1,12,,8.03,2010-11,Baylor,Big 12,101,28,23.3,3.4,5.5,0.6,3.4,5.5,0.6,0.0,0.0,0.0,2.2,3.2,0.7,2.0,3.4,5.4,0.5,0.7,1.1,1.4,2.3,8.9,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,DEN,Quincy Miller,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-4,-0.5,PF,Freshman,2011-12,Baylor,Big 12,37,35,24.4,3.7,8.4,0.447,3.1,6.5,0.475,0.6,1.9,0.348,2.5,3.1,0.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,DET,Khris Middleton,0.452,0.388,0.87,31.7,15.7,4.5,3.2,31.9,0.104,0.2,8.2,SF,Junior,2011-12,Texas A&M,Big 12,20,17,28.8,5.1,12.3,0.415,4.1,8.5,0.485,1,3.9,0.26,2,2.6,0.75,1.3,3.7,5,2.3,1,0.3,2.2,1.9,13.2,,6.54,2010-11,Texas A&M,Big 12,67,55,25.2,3.5,8.1,0.4,2.5,5.0,0.5,1.1,3.1,0.3,2.5,3.3,0.8,1.5,2.9,4.4,1.9,1.0,0.2,1.9,2.3,10.7,,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,POR,Will Barton,0.431,0.344,0.788,23.4,10.6,4,2.4,17.2,0.079,-0.6,3.7,SG,Sophomore,2011-12,Memphis,CUSA,35,34,35.3,6.6,12.9,0.509,5.5,9.9,0.559,1.1,3.1,0.346,3.8,5.1,0.749,2,6,8,2.9,1.4,0.7,2.1,2.1,18,,5.26,2010-11,Memphis,CUSA,35,25,30.6,4.8,11.1,0.428,3.7,6.9,0.527,1.1,4.2,0.265,1.7,2.4,0.699,1.4,3.5,4.9,2.8,1.5,0.5,2.5,2.3,12.3,,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,POR,Tyshawn Taylor,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.8,-0.8,PG,Senior,2011-12,Kansas,Big 12,39,38,33.4,5.8,12.2,0.477,4.3,8.3,0.522,1.5,3.9,0.382,3.5,5.1,0.688,0.2,2.1,2.3,4.8,1.3,0.2,3.5,2,16.6,,9.93,2010-11,Kansas,Big 12,107,88,25.6,3.0,6.4,0.5,2.4,4.8,0.5,0.6,1.6,0.3,2.1,2.9,0.7,0.4,1.8,2.2,3.7,1.1,0.2,2.3,2.1,8.7,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MIL,Doron Lamb,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.9,-1.2,SG,Sophomore,2011-12,Kentucky,SEC,40,35,31.2,4.4,9.2,0.474,2.5,5.2,0.481,1.9,4.1,0.466,3.1,3.7,0.826,0.4,2.3,2.7,1.5,0.5,0.1,1.1,1.8,13.7,,7.93,2010-11,Kentucky,SEC,38,14,28.4,4.2,8.5,0.497,2.4,4.8,0.505,1.8,3.7,0.486,2.1,2.6,0.79,0.5,1.5,2,1.6,0.6,0.2,1.3,2.2,12.3,,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ATL,Mike Scott,0.464,0.364,0.758,16.4,7.1,3.1,0.9,13.7,0.09,-2.4,-0.7,PF,SuperSenior,2011-12,Virginia,ACC,32,32,31.2,6.7,11.9,0.563,6.5,11.3,0.577,0.2,0.6,0.3,4.3,5.4,0.808,2.2,6.1,8.3,1.2,0.7,0.5,2.1,1.8,18,,4.23,2010-11,Virginia,ACC,98,74,25.1,3.8,7.6,0.5,3.7,7.3,0.5,0.1,0.3,0.4,2.2,2.9,0.8,2.7,4.2,6.9,0.9,0.7,0.4,1.5,2.1,9.9,,6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DET,Kim English,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2,SG,Senior,2011-12,Missouri,Big 12,35,35,33.6,4.9,9.4,0.521,2.7,4.5,0.589,2.2,4.9,0.459,2.5,3.4,0.725,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4,14.5,,5.68,2010-11,Missouri,Big 12,106,71,21.1,3.3,8.5,0.4,1.7,4.4,0.4,1.5,4.1,0.4,2.0,2.8,0.7,0.6,2.0,2.7,1.4,1.0,0.2,1.7,1.6,10.0,,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PHI,Justin Hamilton,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.3,0.8,C,Senior,2011-12,LSU,SEC,33,32,30,4.8,9.7,0.494,4.7,9.3,0.503,0.1,0.4,0.25,3.2,4.2,0.781,3.3,3.9,7.2,0.9,0.8,1.3,1.7,2.5,12.9,,5.51,2009-10,Iowa State,Big 12,63,49,17.5,2.1,3.5,0.6,2.1,3.5,0.6,0.0,0.0,0.0,1.1,1.6,0.7,1.9,2.2,4.1,0.2,0.2,0.8,0.7,1.7,5.3,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NOH,Darius Miller,0.418,0.382,0.83,20.4,6,1.7,1.4,5.9,0.055,-1.7,0.4,SF,Senior,2011-12,Kentucky,SEC,40,11,26.1,3.6,7.6,0.474,2.2,3.8,0.569,1.4,3.7,0.376,1.4,1.7,0.797,0.9,1.9,2.8,2.1,0.8,0.3,1.5,2.2,9.9,,7.93,2010-11,Kentucky,SEC,112,71,24.5,2.7,6.2,0.4,1.6,3.4,0.5,1.0,2.8,0.4,1.1,1.4,0.8,1.0,2.4,3.4,1.7,0.7,0.8,1.4,2.4,7.6,,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,UTA,Kevin Murphy,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-17.6,-0.2,SG,Senior,2011-12,Tennessee Tech,OVC,33,32,34.5,7.2,16.3,0.444,4.8,10.5,0.46,2.4,5.8,0.416,3.8,5.2,0.721,0.9,4.3,5.2,2.3,0.8,0.2,3.3,2.2,20.6,,-3.06,2010-11,Tennessee Tech,OVC,95,77,27.1,4.9,11.1,0.4,3.8,7.7,0.5,1.2,3.4,0.4,3.1,4.1,0.7,0.8,3.0,3.8,1.8,0.8,0.2,2.8,2.1,14.1,,-4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,NYK,Kostas Papanikolaou,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.8,-0.2,SF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ORL,Kyle O'Quinn,0.518,0.224,0.743,14.4,5.5,4.6,1.3,17,0.126,1.8,6.3,C,Senior,2011-12,Norfolk State,MEAC,36,36,31.3,5.7,9.9,0.573,5.5,9.1,0.61,0.2,0.9,0.188,4.3,6.2,0.696,3.2,7.2,10.3,1.4,0.7,2.7,2.6,3.3,15.9,,-5.39,2010-11,Norfolk State,MEAC,93,62,26.0,4.3,8.0,0.5,3.8,6.2,0.6,0.5,1.9,0.3,1.9,2.8,0.7,2.3,5.4,7.8,0.8,0.5,2.0,1.8,2.8,11.1,,-7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,DEN,İzzet Türkyılmaz,,,,,,,,,,,,C,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BOS,Kris Joseph,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-10.5,-0.1,SF,Senior,2011-12,Syracuse,Big East,37,37,32.2,4.4,10.5,0.421,3.1,6.5,0.467,1.4,4,0.345,3.2,4.2,0.745,1.5,3.2,4.7,1.5,1.4,0.6,1.5,1.7,13.4,,8.02,2010-11,Syracuse,Big East,103,40,24.6,3.2,6.8,0.5,2.6,5.0,0.5,0.6,1.9,0.3,2.6,3.7,0.7,1.2,3.2,4.4,1.5,1.3,0.4,1.6,1.6,9.5,,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
