Rank,Team,Player,FGP,P3P,FTP,Minutes,Points,Rebounds,Assists,WS,WS/48,BPM,VORP,Position,Class Year,Year,School,Conf,G,GS,MP,FG,FGA,FG.PG,P2M,P2MA,P2.PG,P3M,P3MA,P3.PG,FT,FTA,FT.PG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,Year.1,School.1,Conf.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG.PG1,P2M.1,P2MA.1,P2.PG1,P3M.1,P3MA.1,P3.PG1,FT.1,FTA.1,FT.PG1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,,SOS.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DEN,Doug McDermott,0.457,0.403,0.824,19.9,7.7,2.1,0.8,10.5,0.073,-3.1,-1.9,SF,Senior,2013-14,Creighton,Big East,35,35,33.7,9.4,17.9,0.526,6.7,11.8,0.567,2.7,6.1,0.449,5.1,5.9,0.864,1.6,5.3,7,1.6,0.2,0.1,1.8,1.9,26.7,,7.17,2012-13,Creighton,MVC,110,110,30.8,7.4,13.2,0.6,5.7,9.7,0.6,1.6,3.5,0.5,3.8,4.6,0.8,2.0,5.7,7.7,1.3,0.2,0.1,2.4,1.8,20.2,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ORL,Dario Šarić,0.432,0.358,0.832,26.9,12.6,6.2,2.1,11.6,0.084,-0.5,2.5,PF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MIN,Zach LaVine,0.446,0.374,0.822,30,16.2,3.4,3.5,8.2,0.044,-1.6,1,SG,Freshman,2013-14,UCLA,Pac-12,37,1,24.4,3.4,7.8,0.441,2.1,4.3,0.494,1.3,3.5,0.375,1.3,1.8,0.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2,9.4,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PHO,T.J. Warren,0.496,0.333,0.765,27.9,14.4,4.1,1.1,13.1,0.085,-1.4,1.1,SF,Sophomore,2013-14,NC State,ACC,35,35,35.4,9.8,18.6,0.525,8.9,15.3,0.58,0.9,3.3,0.267,4.5,6.5,0.69,3.2,3.9,7.1,1.1,1.8,0.6,2.4,2.8,24.9,,7.44,2012-13,NC State,ACC,35,14,27,5.3,8.5,0.622,4.9,7.8,0.632,0.4,0.8,0.519,1.1,2.1,0.542,2.1,2.1,4.2,0.8,1.2,0.4,1,2.2,12.1,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ATL,Adreian Payne,0.406,0.254,0.68,13.1,4,2.9,0.6,-0.6,-0.019,-5.5,-1.2,C,Senior,2013-14,Michigan State,Big Ten,31,28,28.1,5.7,11.4,0.503,4.3,8.1,0.536,1.4,3.4,0.423,3.5,4.5,0.79,1.5,5.7,7.3,1.3,0.5,0.9,2,2.6,16.4,,9.38,2012-13,Michigan State,Big Ten,107,66,17.7,2.5,4.6,0.5,2.4,4.2,0.6,0.1,0.4,0.3,1.6,2.1,0.7,1.5,3.2,4.8,0.4,0.6,1.1,1.2,2.1,6.7,,10.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHI,Jusuf Nurkić,0.491,0.071,0.666,22.9,11.6,8,1.9,16.4,0.111,1.3,5.9,C,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BOS,James Young,0.367,0.277,0.563,8.5,2.3,1,0.3,0.8,0.046,-4,-0.4,SG,Freshman,2013-14,Kentucky,SEC,40,39,32.4,4.6,11.3,0.407,2.5,5.4,0.47,2.1,5.9,0.349,3.1,4.4,0.706,1,3.3,4.3,1.7,0.8,0.2,1.9,2.1,14.3,,9.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,PHO,Tyler Ennis,0.419,0.317,0.768,12.6,4.2,1.3,1.9,1.3,0.026,-4.6,-1.5,PG,Freshman,2013-14,Syracuse,ACC,34,34,35.7,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,0.353,3.4,4.4,0.765,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2,12.9,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CHI,Gary Harris,0.459,0.365,0.801,28.5,12.4,2.6,2.1,16.2,0.086,-0.1,4.3,SG,Sophomore,2013-14,Michigan State,Big Ten,35,34,32.3,5.6,13,0.429,3.3,6.4,0.507,2.3,6.6,0.352,3.3,4.1,0.81,1.1,2.9,4,2.7,1.8,0.4,1.7,2.1,16.7,,9.38,2012-13,Michigan State,Big Ten,34,33,29.7,4.4,9.7,0.456,2.5,5,0.497,1.9,4.6,0.411,2.2,2.9,0.755,0.9,1.6,2.5,1.4,1.3,0.2,1.5,2,12.9,,10.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,TOR,Bruno Caboclo,0.384,0.337,0.839,14.3,4.7,2.8,0.8,1,0.048,-1.6,0.1,SF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,OKC,Mitch McGary,0.527,0,0.58,10.7,4.4,3.5,0.3,1.3,0.108,-3.1,-0.2,PF,Sophomore,2013-14,Michigan,Big Ten,8,4,24.8,3.8,6.9,0.545,3.8,6.6,0.566,0,0.3,0,2,3,0.667,2.9,5.4,8.3,1.5,1.9,0.8,1.6,3.1,9.5,,9.65,2012-13,Michigan,Big Ten,39,8,19.7,3.4,5.7,0.598,3.4,5.7,0.598,0,0,0,0.6,1.3,0.442,2.5,3.8,6.3,0.6,1.1,0.7,1.2,2.4,7.5,,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MEM,Jordan Adams,0.402,0.385,0.607,8.2,3.2,0.9,0.6,0.4,0.07,-0.5,0.1,SG,Sophomore,2013-14,UCLA,Pac-12,36,36,30.1,5.8,11.9,0.485,4.3,7.9,0.551,1.4,4.1,0.356,4.4,5.3,0.836,1.9,3.5,5.3,2.3,2.6,0.1,1.5,2.2,17.4,,7.62,2012-13,UCLA,Pac-12,33,27,30.3,5,11.2,0.447,3.6,6.6,0.543,1.4,4.5,0.307,3.9,4.6,0.843,0.6,3.2,3.8,1.8,2.2,0.4,1.2,2.1,15.3,,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,UTA,Rodney Hood,0.424,0.369,0.84,27.3,12.6,2.9,1.9,16.6,0.089,-0.9,2.4,SF,Junior,2013-14,Duke,ACC,35,33,32.9,5.5,11.8,0.464,3.4,6.9,0.494,2,4.8,0.42,3.1,3.9,0.795,0.8,3.1,3.9,2.1,0.7,0.3,1.5,2.6,16.1,,8.48,2011-12,Mississippi State,SEC,32,29,32.8,4,9,0.443,2.5,4.9,0.506,1.5,4,0.364,0.8,1.3,0.659,1,3.8,4.8,2,0.4,0.4,0.9,1.3,10.3,,4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CHH,Shabazz Napier,0.391,0.35,0.814,16.2,6.4,1.7,2.1,6.6,0.067,-1.5,0.6,PG,Senior,2013-14,UConn,AAC,40,40,35.1,5.3,12.4,0.429,3.2,7,0.448,2.2,5.4,0.405,5.2,6,0.87,1,4.9,5.9,4.9,1.8,0.3,2.9,2.1,18,,8.62,2012-13,UConn,Big East,103,58,31.2,3.7,9.2,0.4,2.0,4.6,0.4,1.7,4.6,0.4,2.9,3.8,0.8,0.6,2.7,3.3,4.4,1.7,0.2,2.3,2.1,12.0,,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,HOU,Clint Capela,0.635,0,0.524,25.1,12,9.1,0.9,31.7,0.202,1.8,7.3,C,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MIA,P.J. Hairston,0.343,0.295,0.81,18,6,2.4,0.5,0.9,0.021,-3.9,-1,SF,Junior,2012-13,UNC,ACC,34,14,23.6,4.7,10.9,0.431,2.1,4.2,0.486,2.6,6.6,0.396,2.6,3.3,0.788,1.9,2.4,4.3,1.4,1.3,0.4,1.1,1.9,14.6,,8.01,2011-12,UNC,ACC,37,0,13,1.6,5.4,0.308,0.6,1.6,0.39,1,3.8,0.273,1.4,1.7,0.839,0.8,1.4,2.2,0.8,0.4,0.2,0.7,1.5,5.7,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PHO,Bogdan Bogdanović,0.426,0.371,0.821,27.7,12.7,3.1,3.5,5.6,0.062,-1,1.1,SG,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,LAC,C.J. Wilcox,0.37,0.333,0.813,5.7,2,0.5,0.5,0.1,0.007,-5.2,-0.3,SG,Senior,2013-14,Washington,Pac-12,32,31,34.9,6.2,13.6,0.453,3.3,6.4,0.522,2.8,7.2,0.391,3.2,3.7,0.873,0.7,3,3.7,2.5,1,1,1.7,2.3,18.3,,6.45,2012-13,Washington,Pac-12,99,52,26.4,4.5,10.5,0.4,2.3,5.1,0.5,2.1,5.5,0.4,2.0,2.4,0.8,0.9,2.4,3.3,1.3,0.8,0.7,1.3,1.8,13.1,,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OKC,Josh Huestis,0.346,0.312,0.24,14.1,2.5,2.4,0.3,0.7,0.03,-3.8,-0.5,PF,Senior,2013-14,Stanford,Pac-12,36,36,35.2,4.3,9.6,0.451,3.6,7.5,0.483,0.7,2.1,0.338,1.8,2.8,0.627,2.5,5.7,8.2,1.2,0.6,1.9,1.2,2.1,11.2,,9,2012-13,Stanford,Pac-12,99,39,21.3,2.4,5.3,0.5,2.0,4.0,0.5,0.4,1.4,0.3,1.1,1.8,0.6,2.1,3.4,5.5,0.7,0.5,1.3,0.8,1.6,6.2,,5.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,SAS,Kyle Anderson,0.493,0.322,0.702,19.6,5.4,3.9,1.9,15.6,0.125,2.1,6.2,SF,Sophomore,2013-14,UCLA,Pac-12,36,36,33.2,5,10.5,0.48,4.3,8.9,0.48,0.8,1.6,0.483,3.8,5.2,0.737,1.3,7.5,8.8,6.5,1.8,0.8,3.1,1.7,14.6,,7.62,2012-13,UCLA,Pac-12,35,34,29.9,3.5,8.4,0.416,3.3,7.3,0.447,0.2,1.1,0.211,2.5,3.3,0.735,2.1,6.5,8.6,3.5,1.8,0.9,2.1,2.1,9.7,,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MIL,Damien Inglis,0.351,0.231,0.875,7.8,1.8,1.6,0.5,-0.1,-0.024,-6.4,-0.2,SF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PHI,K.J. McDaniels,0.412,0.29,0.776,14.1,5.3,2.2,0.6,1.3,0.03,-3.3,-0.7,SF,Junior,2013-14,Clemson,ACC,36,35,33.7,5.8,12.6,0.459,4.6,8.8,0.527,1.2,3.8,0.304,4.3,5.1,0.843,2.4,4.7,7.1,1.6,1.1,2.8,2.3,2.2,17.1,,5.97,2012-13,Clemson,ACC,58,26,18.5,2.7,6.0,0.4,2.0,3.9,0.5,0.6,2.1,0.3,1.3,2.0,0.6,1.4,1.9,3.3,0.5,0.7,1.4,1.0,1.5,7.3,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CLE,Joe Harris,0.478,0.432,0.796,22.8,9.5,2.9,1.5,10.9,0.086,-0.5,2.3,SG,Senior,2013-14,Virginia,ACC,37,37,28.8,4,9.1,0.441,2.1,4.3,0.487,1.9,4.9,0.4,2,3.1,0.64,0.6,2.4,2.9,2.3,0.9,0.2,1.3,2.4,12,,7.86,2012-13,Virginia,ACC,98,91,30.8,4.3,9.6,0.4,2.4,4.8,0.5,1.9,4.7,0.4,2.3,3.1,0.7,1.0,3.1,4.1,1.8,0.8,0.4,1.7,2.2,12.8,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,NYK,Cleanthony Early,0.346,0.263,0.75,14.3,4.3,2.2,0.8,-0.6,-0.039,-5.7,-0.8,SF,Sophomore,2013-14,Wichita State,MVC,36,36,27.4,5.2,10.7,0.484,3.4,5.8,0.579,1.8,4.9,0.373,4.2,5,0.844,1.3,4.6,5.9,0.8,0.8,0.8,1.9,2.3,16.4,,1.73,2012-13,Wichita State,MVC,39,22,25.1,4.7,10.4,0.455,3.5,6.6,0.535,1.2,3.8,0.318,3.3,4.2,0.791,2.3,3.2,5.4,0.6,0.7,0.9,1.6,2.6,13.9,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
